brand,product_name,product_type,country_of_origin,price,category,quantity,unit,retinoids,ingredients
Elizabeth Arden,Elizabeth Arden Visible Difference Refining Moisture Cream (75Ml),Moisturiser,United States,37.5,Affordable,75.0,ml,Retinyl Palmitate,"['Glycerin', 'Squalene', 'Cetearyl Alcohol', 'Polysorbate 60', 'Isopropyl Myristate', 'Cera Alba', 'Olea Europaea Fruit Oil', 'Retinyl Palmitate', 'Allantoin', 'Panthenol', 'Laureth-7', 'C13-14 Isoparaffin', 'Polyacrylamide', 'Sodium Hydroxide', 'Disodium Edta', 'Parfum', 'Benzyl Benzoate', 'Geraniol', 'Hexyl Cinnamal', 'Hydroxycitronellal', 'Limonene', 'Linalool', 'Methylisothiazolinone', 'Methylparaben']"
L'Oréal Paris,L'Oréal Paris Dermo Expertise Triple Active Hydrating Night Moisturiser (50Ml),Moisturiser,France,9.36,Affordable,50.0,ml,Retinyl Palmitate,"['Hydrogenated Polyisobutene', 'Dimethicon', 'Glycerin', 'Paraffinum Liquidum', 'Cetyl Alcohol', 'Peg-100 Stearate', 'Glyceryl Stearate', 'Oryza Sativa Bran', 'Zea Mays Oil', 'Hydroxyethylpiperazine Ethane Sulfonic Acid', 'Microcrystalline Wax', 'Paraffin', 'Sesamium Indicum Seed Oil', 'Sorbitan Tristearate', 'Isohexadecane', 'Bifida Ferment Lysate', 'Ascorbyl Glucoside', 'Hydroxypalmitoyl Sphinganine', 'Citric Acid', 'Triticum Vulgare Bran Extract', 'Panthenol', 'Polysorbate 80', 'Acrylamide/Sodium', 'Retinyl Palmitate', 'Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate', 'Sodium Benzoate', 'Phenoxyethanol', 'Chlorhexidine Digluconate', 'Ci 14700', 'Alpha-Isomethyl Ionone', 'Limonene', 'Hydroxyisohexyl 3-Cyclohexene', 'Butylphenyl Methylpropional', 'Benzyl Alcohol', 'Benzyl Benzoate', 'Benzyl Salicylate', 'Parfum']"
Murad,Murad Hydro-Dynamic™ Ultimate Moisture (50Ml),Moisturiser,United States,75.0,Luxury,50.0,ml,Retinyl Palmitate,"['C12-15', 'Capric Triglyceride', 'Glycerin', 'Helianthus Annuus Seed Oil', 'Butylene Glycol', 'Glyceryl Stearate', 'Glyceryl Behenate/Eicosadioate', 'Dicaprylyl Carbonate', 'Butyrospermum Parkii', 'Cetearyl Alcohol', 'Myristyl Myristate', 'Cetyl Alcohol', 'Ethoxydiglycol', 'Phenyl Trimethicone', 'Stearic Acid', 'Avena Sativa Kernel Extract', 'Faex Extract', 'Algae Extract', 'Glycine Soja Extract', 'Zea Mays Starch', 'Olea Europaea Fruit Oil', 'Persea Gratissima Oil', 'Sodium Hyaluronate', 'Dipotassium Glycyrrhizate', 'Tetrahexyldecyl Ascorbate', 'Tocopheryl Acetate', 'Linoleic Acid', 'Phospholipid', 'Polysorbate 60', 'Acrylamide/Sodium', 'Isohexadecane', 'Glyceryl Polymethacrylate', 'Panthenol', 'Simmondsia Chinensis Leaf Extract', 'Potassium Jojobate', 'Polysorbate 80', 'Urea', 'Glucosamine Hcl', 'Peg-8', 'Bisabolol', 'Sorbitan Oleate', 'Cetearyl Methicone', 'Dimethicon', 'Palmitoyl Oligopeptide', 'Retinyl Palmitate', 'Allantoin', 'Xanthan Gum', 'Disodium Edta', 'Bht', 'Ethylhexyl Glycerin', 'Chlorphenesin', 'Phenoxyethanol']"
The Inkey List,The Inkey List Bakuchiol Moisturiser 30Ml,Moisturiser,United Kingdom,12.49,Affordable,30.0,ml,Bakuchiol,"['Squalene', 'Glycerin', 'Propanediol', 'Plukenetia Volubilis Oil', 'Dicaprylyl Carbonate', 'Bakuchiol', 'Phenoxyethanol', 'Sodium Caproyl Prolinate', 'Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate', 'Carbomer', 'Sodium Hydroxide', 'Ethylhexyl Glycerin', 'Sodium Stearoyl Glutamate', 'Polysorbate 60', 'Phytic Acid', 'Glyceryl Polyacrylate', 'Sorbitan Isostearate', 'Tocopherol']"
Murad,Murad Oil And Pore Control Mattifier Spf45 Pa 50Ml,Moisturiser,United States,43.75,Affordable,50.0,ml,Retinyl Palmitate,"['Homosalate', 'Tapioca Starch', 'Polysilicone-11', 'Ethylhexyl Salicylate', 'Octocrylene', 'Methyl Methacrylate Crosspolymer', 'Butyl Methoxydibenzoylmethane', 'Propanediol', 'Butylene Glycol', 'Coconut Alkanes', 'Cetearyl Alcohol', 'C20-22', 'Enantia Chlorantha Bark Extract', 'Butyl Avocadate', 'Retinyl Palmitate', 'Tocopheryl Acetate', 'Ascorbyl Palmitate', 'Sodium Hyaluronate', 'Allantoin', 'Zinc Gluconate', 'Glycerin', 'Oleanolic Acid', 'Urea', 'Yeast Amino Acids', 'Trehalose', 'Inositol', 'Taurine', 'Betaine', 'Coco-Caprylate', 'Hydrogenated Lecithin', 'Coco-Glucoside', 'C20-22', 'Laureth-12', 'Polyacrylate Crosspolymer-6', 'Sodium Hydroxide', 'Disodium Edta', 'Ethylhexyl Glycerin', 'Phenoxyethanol', 'Parfum', 'Limonene', 'Linalool', 'Citral']"
Pixi,Pixi Overnight Glow Serum,Serum,United Kingdom,32.5,Affordable,0.0,0,Retinyl Palmitate,"['Glycerin', 'Glycolic Acid', 'Polysorbate-20', 'Hydroxyethyl Cellulose', 'Ammonium Hydroxide', 'Phenoxyethanol', 'Propylene Glycol', 'Ethylhexyl Glycerin', 'Aloe Barbadenis Extract', 'Cucumis Sativus Extract', 'Arganine', 'Disodium Edta', 'Tocopheryl Acetate', 'Retinyl Palmitate', 'Ascorbyl Palmitate', 'Lecithin', 'Sucrose', 'Hydrogenated Lecithin', 'Capric Triglyceride', 'Cyclopentasiloxane', 'Bht', 'Cyclohexasiloxane', 'Xanthan Gum', 'Ascorbic Acid']"
Medik8,Medik8 Crystal Retinal 6,Serum,United Kingdom,73.75,Luxury,0.0,0,Retinal,"['Capric Triglyceride', 'Glycerin', 'Isododecane', 'Cyclodextrin', 'Cetearyl Alcohol', 'Cetearyl Olivate', 'Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer', 'Sorbitan Olivate', 'Tocopheryl Acetate', 'Squalene', 'Sodium Hyaluronate', 'Retinal', 'Ethyl Ascorbic Acid', 'Daucus Carota Sativa Extract', 'Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate', 'Ethylhexyl Glycerin', 'Pentylene Glycol', 'Vanilla Planifolia Extract', 'Hydroxypropyl Methylcellulose', 'Rubus Chamaemorus Extract', 'Sodium Polyaspartate', 'Tetrahexyldecyl Ascorbate', 'Dipteryx Odorata Bean Extract', 'Bht', 'Polyhydroxystearic Acid', 'Disodium Edta', 'Titanium Dioxide', 'Phenoxyethanol', 'Alumina', 'Lonicera Caprifolium (Melsuckle) Flower Extract', 'Isostearic Acid', 'Lecithin', 'Lonicera Japonica (Melsuckle) Flower Extract', 'Polyglyceryl-3 Polyricinoleate', 'Stearic Acid', 'Coumarin', 'Ci 14700']"
Pixi,Pixi Collagen And Retinol Serum 30Ml,Serum,United Kingdom,32.5,Affordable,30.0,ml,Retinol,"['Glycerin', 'Acacia Seyal Gum Extract', 'Retinol', 'Methyl Methacrylate/Glycol Dimethacrylate Crosspolymer', 'Acetyl Heptapeptide-4', 'Niacinamide', 'Rosmarinus Officinalis Extract', 'Anthemis Nobilis Flower Water', 'Ascorbic Acid', 'Tocopheryl Acetate', 'Citric Acid', 'Carbomer', 'Potassium Sorbate', 'Hydroxyethyl Cellulose', 'Caprylyl Glycol', 'Disodium Edta', 'Propyl Gallate', 'Bht']"
Elizabeth Arden,Elizabeth Arden Ceramide Capsules Advanced (90 Capsules),Serum,United States,105.0,Luxury,0.0,0,Retinyl Palmitate,"['Isononyl Isononanoate', 'Isodecyl Neopentanoate', 'Isododecane', 'Isopropyl Myristate', 'Dimethicon', 'Camellia Japonica Extract', 'Divinyldimethicon/Dimethicon Copolymer', 'Capric Triglyceride', 'Cyclopentasiloxane', 'Ceramide 1', 'Ceramide 3', 'Ceramide 6 Ii', 'Cholesterol', 'Cocos Nucifera Fruit Extract', 'Crithmum Maritimum Extract', 'Dimethiconol', 'Lecithin', 'Linoleic Acid', 'Linolenic Acid', 'Medicago Sativa Extract', 'Phytosphingosine', 'Retinyl Palmitate', 'Squalene', 'Tocopherol']"
Elizabeth Arden,Elizabeth Arden Retinol Ceramide Capsules Line Erasing Night Serum - 30 Pieces (Sleeved Version),Serum,United States,52.5,Luxury,0.0,0,Retinol,"['Cyclopentasiloxane', 'Dimethicon Crosspolymer', 'C12-15', 'Bht', 'C18-36', 'Camellia Sinensis Extract', 'Ceramide Np', 'Ceamide Ns', 'Cyclohexasiloxane', 'Dimethiconol', 'Ethylhexyl Cocoate', 'Helianthus Annuus Seed Oil', 'Laurylmethacrylate/Glycol Dimethacrylate Crosspolymer', 'Lecithin', 'Olea Europaea Fruit Oil', 'Palmitoyl Tetrapeptide-7', 'Palmitoyl Tripeptide-1', 'Persea Gratissima Oil', 'Phytosphingosine', 'Phytosteryl', 'Polysorbate-20', 'Propylene Glycol Dicaprylate', 'Retinol', 'Sorbitan Laurate', 'Tetrahydrodiferuloylmethane', 'Phenoxyethanol']"
